4.000000000000000000e+00;7.000000000000000000e+00;2.339553065061569214e+03;-5.427299482267946562e-01
5.000000000000000000e+00;2.000000000000000000e+00;1.979510377645492554e+03;3.114398758573008186e-01
5.000000000000000000e+00;3.000000000000000000e+00;3.477355628252029419e+03;7.967112169621548556e-02
5.000000000000000000e+00;4.000000000000000000e+00;5.448297433853149414e+03;3.635288081282364026e-01
5.000000000000000000e+00;5.000000000000000000e+00;7.859107587337493896e+03;2.962964875616156402e-01
5.000000000000000000e+00;6.000000000000000000e+00;1.082460032558441162e+04;4.928773715635037522e-02
5.000000000000000000e+00;7.000000000000000000e+00;1.432046650004386902e+04;4.978932423326245527e-01
6.000000000000000000e+00;2.000000000000000000e+00;1.777801802873611450e+03;3.422080644452456522e-01
6.000000000000000000e+00;3.000000000000000000e+00;3.119906241416931152e+03;2.303189677040565764e-01
6.000000000000000000e+00;4.000000000000000000e+00;4.872500359058380127e+03;4.791690458595007085e-01
6.000000000000000000e+00;5.000000000000000000e+00;7.052332419395446777e+03;5.267281674472388264e-01
6.000000000000000000e+00;6.000000000000000000e+00;9.723229444026947021e+03;3.606699978166965082e-01
6.000000000000000000e+00;7.000000000000000000e+00;1.282491756963729858e+04;2.317445234371321439e-01
7.000000000000000000e+00;2.000000000000000000e+00;2.545920632839202881e+03;2.431337903989905236e-01
7.000000000000000000e+00;3.000000000000000000e+00;4.466787588119506836e+03;2.834525353471420983e-01
7.000000000000000000e+00;4.000000000000000000e+00;6.980575865983963013e+03;7.876238346037234273e-03
7.000000000000000000e+00;5.000000000000000000e+00;1.012436043119430542e+04;3.673072921434317184e-01
7.000000000000000000e+00;6.000000000000000000e+00;1.397751614594459534e+04;4.633212322038267050e-01
7.000000000000000000e+00;7.000000000000000000e+00;1.852148490333557129e+04;3.426058910686063941e-01
8.000000000000000000e+00;2.000000000000000000e+00;1.272874412775039673e+03;-2.293259001143188591e-02
8.000000000000000000e+00;3.000000000000000000e+00;2.325323802947998047e+03;1.111229424114101860e-02
8.000000000000000000e+00;4.000000000000000000e+00;3.675746140956878662e+03;-8.991327445381447347e-03
8.000000000000000000e+00;5.000000000000000000e+00;5.390430901527404785e+03;-1.013209755545922963e-01
8.000000000000000000e+00;6.000000000000000000e+00;7.440154529571533203e+03;1.625957970487331705e-01
8.000000000000000000e+00;7.000000000000000000e+00;9.822130211353302002e+03;-6.861431593764804049e-01
9.000000000000000000e+00;2.000000000000000000e+00;1.818308634757995605e+03;3.478895908467106723e-01
9.000000000000000000e+00;3.000000000000000000e+00;3.188013986825942993e+03;4.215481454747177503e-01
9.000000000000000000e+00;4.000000000000000000e+00;4.985654807329177856e+03;3.255583983422685179e-01
9.000000000000000000e+00;5.000000000000000000e+00;7.229289921522140503e+03;3.807974188827834006e-01
9.000000000000000000e+00;6.000000000000000000e+00;9.941871937274932861e+03;3.592382925837679375e-01
9.000000000000000000e+00;7.000000000000000000e+00;1.318535174822807312e+04;-4.979527228616140722e-01
